"RecordID","ProgramStudi","Gender","DeviceUtama","ModaBelajar","Kepuasan","IntensitasBelajar","DurasiBelajarJam","PaketID"
645961,"Sains Aktuaria","P","Smartphone","Diskusi","Cukup","Sedang",5.1,"ADK1-070181B0"
889698,"Sistem Informasi","P","Tablet","Video","Puas","Rendah",4.6,"ADK1-070181B0"
287269,"Sistem Informasi","L","Tablet","Diskusi","Tidak Puas","Tinggi",7.2,"ADK1-070181B0"
561195,"Sains Data","P","Tablet","Praktik","Puas","Sedang",5.7,"ADK1-070181B0"
505351,"Sistem Informasi","P","Tablet","Diskusi","Cukup","Sedang",8.8,"ADK1-070181B0"
705184,"Sistem Informasi","L","Tablet","Diskusi","Puas","Sedang",8,"ADK1-070181B0"
103934,"Matematika","L","Tablet","Buku","Puas","Tinggi",8.2,"ADK1-070181B0"
654440,"Sains Aktuaria","L","Tablet","Praktik","Puas","Rendah",4.5,"ADK1-070181B0"
925009,"Sains Aktuaria","P","Tablet","Buku","Cukup","Sedang",8.2,"ADK1-070181B0"
525305,"Sains Aktuaria","P","Tablet","Diskusi","Tidak Puas","Rendah",3.6,"ADK1-070181B0"
443548,"Matematika","L","Laptop","Diskusi","Tidak Puas","Sedang",10.9,"ADK1-070181B0"
555856,"Sistem Informasi","P","Tablet","Video","Cukup","Sedang",8.5,"ADK1-070181B0"
463157,"Sistem Informasi","P","Laptop","Praktik","Cukup","Sedang",6.8,"ADK1-070181B0"
767687,"Sistem Informasi","P","Tablet","Diskusi","Sangat Puas","Tinggi",8.1,"ADK1-070181B0"
414313,"Sains Data","L","Smartphone","Buku","Sangat Puas","Sedang",4.6,"ADK1-070181B0"
224400,"Sains Aktuaria","P","Tablet","Buku","Sangat Puas","Rendah",6.8,"ADK1-070181B0"
523030,"Sains Aktuaria","P","Tablet","Buku","Tidak Puas","Tinggi",8.7,"ADK1-070181B0"
309830,"Sistem Informasi","P","Laptop","Praktik","Sangat Puas","Tinggi",9.5,"ADK1-070181B0"
684318,"Matematika","P","Tablet","Praktik","Puas","Sedang",9.4,"ADK1-070181B0"
